+----+-----------+----------+----------+-------------+--------+--------+----------+--------+--------+--------+-----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|    |           |   i      |   f      |   e         |   l    |   s    |   t      |   h    |   n    |   w    |   b       |   g    |   r    |   a    |   k    |   d    |   c    |   o    |   u    |   -    |   +    |   *    |   /    |   <    |   >    |   =       |   1    |   2    |   3    |   4    |   5    |   6    |   7    |   8    |   9    |   0    |
| 38 | *T38      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 39 | *T39      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 40 | *T40      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 41 | *T41      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 42 | *T42      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 45 | *T45      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 47 | T47       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    T48 |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 48 | T48       |    X     |    X     |    T49      |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 49 | *T49      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 50 | T50       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    T51 |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
